text,label,stop_words
would feel ungrateful didnt thank know,sadness,11
feel glamorous rich enough enriching perfume collection even haha,joy,4
feel like try try relationship tradition people care get damaged,sadness,12
phone tech support today turn something common guy phone thought feeling curious world,surprise,23
may feel uncomfortable want give,fear,5
feel like much sure much im overwhelmed unhappy enjoying time family,joy,18
feeling stunned sad earthquake christchurch new zealand yesterday,surprise,7
also suspect like feel like want die reluctant share information anyone freaking scary,fear,16
would like experience wished depart others lay relieve odd sense nausea avoid make anyone feel bad brought restaurant first place,sadness,24
im feeling longing urge create something,love,3
feel way know reputation student population eager join culture somehow doubt northwestern,joy,14
use moment opportunity feel radiant beautiful soul hidden long behind wall,joy,13
ive feeling helpless since superstorm sandy hit one favorite place world suspect lot share feeling,fear,11
feel much many page many description star many supporting character,love,10
cannot feel sincere,joy,2
feel strange rel bookmark november href http eagleandhammer,surprise,3
feel curious reserved habit nothing else,surprise,2
may feel amazing time capable much lighting another cigarette,joy,11
start feeling crappy toss bam singing dancing shimmy ing shoulder like whitney,sadness,14
hopped scale morning feeling none optimistic,joy,5
even feel still feel gloomy moody till,sadness,6
feeling tad lonely absence,sadness,6
feel resentful show resentment eating tempura sundae,anger,6
get feeling miserable narrator pining ex lover dreaming return wonder whether unlock door case come way drink dancing,sadness,22
feel like would direction would still feel innocent,joy,6
believe happy healthy relationship likely feel much energized inspired reflected overall health appearance,joy,16
didnt feel tragic estrangement superman family perhaps playing perhaps unlike batman already one,sadness,11
feel amazed world,surprise,3
feel absolutely assured informing need get hand set,joy,9
feel make one mistake everything shatter like delicate crystal flower slipped grasp,love,9
feel cold,anger,5
may bit late year im feeling festive sat fire imagination actually hot radiator,joy,11
admittedly feel like crap want sleep day cranky want yell everyone,anger,11
feel popular today,joy,1
feel gloomy desperately seek affection,sadness,3
feel like trusting driver,joy,2
find thing effecting loved one love dearly feel helpless remedy hard time,sadness,17
dont know guy certainly feel fabulous,joy,7
feel honoured opportunity look forward future life develop,joy,11
remember feeling annoyed also wondering stop buy something,anger,7
im feeling slightly empty right want reach hand someone anyone hold,sadness,9
fair skinned feel give lovely highlight pale skin without looking like mass glitter,love,11
talk lot majority time spent work work feeling generally unhappy lonely frustrated even little bitter past event go away,sadness,23
think made known feel cold weather friend ready winter finished please please finished,anger,16
im probably least talkative person group always feel glad going even intense uncomfortable feel vulnerable,joy,10
get conversation regret start feel exhausted fifteen minute something sound like something feel like pea carrot pea carrot mush mush mush,sadness,15
feeling awful felt like pushing really hard maintain pace sounded really slow,sadness,9
always feel little ashamed american history knowledge like learn,sadness,11
challenged clip richard gere give julia robert money buy pretty clothes walk expensive boutique work clothes condescending staff refuse serve leave feeling humiliated,sadness,18
going crazy lea feeling pleasent fearful,fear,7
felt lost half time feel numb,sadness,7
feel less burdened way,sadness,3
seen there something set make feel glad,joy,12
feel gracious freaking finance saw fit smooth thing monetarily say,joy,20
want feel uncertain unsettled deserves maybe itll teach lesson,fear,10
feel guilty dont need constantly check,sadness,9
distinct sickening feeling paused glancing kakashi rest eager audience going regret,joy,15
feel like strange antisocial creature difficult cooperation,surprise,4
really feel like never love never affectionate doesnt love,love,10
may feel bit gloomy,sadness,2
feel absolutely loved,love,1
get feeling telling peter many people surprised,surprise,6
personally feel every rapist punished rigorously hanged,sadness,6
feel terrible even remember girl came pray last night,sadness,11
feel write truly innocent even though quite bit feeling involved,joy,12
feel manifesting strange way,fear,3
wonder feeling complacent result laziness,joy,6
mean didnt feel like one felt like casual outing meeting catch,joy,10
think significant feeling left week deeply privileged live live,joy,25
feel ive loyal,love,2
feel damaged gt gt gt religion let happen child mine,sadness,13
spent wednesday feeling miserable,sadness,3
feel like ever anymore internet bitch kid seriously im amazed many child survive toddlerhood,surprise,12
really feel kid tortured highschool,fear,6
feeling going start popping primetime innocent kid potential murderer face,joy,11
sick feeling worthless useless miserable,sadness,6
predict take deal situation feel safe,joy,11
started develop feeling scared freaked promised safe,fear,15
pound feel fantastic shocked discovered going past year,joy,13
feel disheartened,sadness,3
feel memory precious glad,joy,10
got shot many likely angle could feeling like moronic tourist deciding care,sadness,9
feel time devoted scheduling instead actually making center top notch,love,8
im feeling bit apprehensive dont know little note card stand mass talent etsy,fear,13
feel distraught thankful weather improving much,fear,8
ran despite feeling rotten glad well really want better,sadness,14
definitely feeling festive vibe busy christmas thing mince pie much british xmas goodie never heard met husband well maybe song,joy,25
assume feeling cold like water frozen plenty feed though eschew favor foraging scratch,anger,19
feel like total bitchy person today yay,anger,2
feel palate jaded type take natural wine lighter style messianic quest reveal true nature great wine,sadness,9
feel little tortured lost,anger,3
feel super strong see biceps left arm shaping,joy,10
feeling excited also nervous worrying little detail hoping first day go well,joy,9
story week decide separated feeling longer introducing little sprinkling delicious feeling right away,joy,20
professional historian mean may feel left important thing took context,joy,16
dont know every time feel like someone favor time start feel burdened stressed,sadness,15
woke saturday feeling glad saturday work week behind,joy,11
havent exactly gone spin around block yet since id feel strange strapping teddy bear place baby look nice sturdy like trick,fear,17
wanting write secret life live one handful people know one keep secret one feel embarrassed even though know perfectly human normal deep feel right,sadness,25
one close friend saying didnt like way nice people dont know,anger,9
would feel resentful toward patrick couldnt read avery nightly book,anger,9
im feeling regretful tonight,sadness,1
im feeling helpless clueless homesick,fear,2
wandering around santa cruz thinking last time seeing meaningful street square shop caf spent much time friend make feel almost heartbroken,sadness,25
im finally looking forward toe kissing sand feeling free,joy,7
ive two shot lupron im feeling fine,joy,3
im deep budget spreadsheet feel im someplace dont creative work,joy,9
hear whir motor feel stir cool air,joy,9
feel though somehow shes become less likeable,joy,3
still feel bit overwhelmed,fear,2
might potential job line feeling generous,joy,8
hope always remain grateful even feeling little unsure endeavor,fear,6
know would enjoy book still remember feeling enthralled character amish lifestyle presented,surprise,14
feeling amazed didnt find good commented,surprise,10
hope soon wont feel like stupid slut,sadness,4
feel heart definately idiotic mind,sadness,6
feel matter convinced alone life journey mine alone,joy,15
argue disabled mda telethon make feel take away want respected,joy,19
im feeling pretty depressed think spiraling,sadness,3
im feeling insecure sad dont know book,fear,8
sure know come feeling little tender,love,7
didnt sleep quite well last night still feel quite energetic morning,joy,5
agonised writing review book word dont seem flow feel somehow inadequate task,sadness,12
feel curious excited impatient,surprise,2
im big city solo im afraid going six day wandering around lost six day feeling uncomfortable six day knowing dress six day knowing six day knowing eat six day disaster disaster disaster,fear,24
never thought could feel thankful awful thing making stronger even husband get weaker,joy,12
heavy feel dull think stopped breathing,sadness,9
feel defeated loss confused,sadness,2
im feeling particularly sentimental go bookstore book sold pace distance book displayed shelf,sadness,24
view way growing people constantly made feel like wasnt good enough,joy,15
feel absolutely stumped floor dance charming gentle specially continental feeling purely mental heaven rest u asbestos dance,joy,33
feel sorry subject tend let go soon,sadness,6
love feel blessed spend another year,love,8
im feeling generous here holiday classic iframe allowfullscreen frameborder height src http www,love,3
imagine end might feel like fully loving,love,9
also feel strongly supporting local economy past year proud driven gm car gm community,joy,12
feeling insatiably curious want read learn digital medium social marketing,surprise,9
feel slowly caring living people standard come aesthetic present,love,14
dont really connect main character anything fact feel like almost innocent,joy,12
feel little confident school,joy,8
get saying feel somewhat remorseful kind friend giving kind support wanted needed throughout past year friendship oh yes go back far,sadness,21
learned much even still learn new thing rabbit feel always keep learning amazed,surprise,15
chose innocent world alphabet rose jsk longer length longer length lolita dress always feel casual innocent knee length style reminds jane austen,joy,13
think last week softball im likely going suck least try play feel absolutely rotten going see aggressive hydration,sadness,18
feel divine future second advance,joy,7
feel everythings resolved psychically galvanised prepared wrestle world ground,joy,9
im feeling listless,sadness,1
feel innocent want hurt anyone,joy,8
didnt even time feel jealous busy pinning picture writing href http nanashi,anger,10
pay bill still cash bank leave feeling pretty satisfied right,joy,10
feel heartbroken one middle aged woman told pyongyang state run medium,sadness,2
notice enjoyable moment even enjoyable recognize far feeling get horrible sensation get something bad happens,sadness,13
start feeling anxious,fear,2
want feel humiliated guilty,sadness,4
always feel bit anxious preceptor still learning,fear,7
appreciate award feel many wonderful blog winner,joy,12
feel hopeful like gleefully roasting marshmallow fireplace like abc family original movie,joy,9
realize extremely grateful act kindness lord feeling quite distressed moment,fear,11
feel like one person life miserable best,sadness,13
feel like im taking care needy puppy living mother,sadness,6
im feeling annoyed add dont feel important whatever shit anymore,anger,4
feel annoyed kind people comment try philosophy religion,anger,12
im feeling little melancholy tonight kinda like paint door,sadness,4
know luh feeling damn awkward,sadness,2
arriving new zealand teenager first overseas trip something exhilarating change scenery etc,joy,6
feel like want stop think wimpy muscle less sister tough mudder,fear,9
feel ease moment last night troubled,sadness,9
guess feel fulfill artistic pursuit certainly time economy pick,joy,19
think came weird catholic way raised feel ashamed sex,sadness,8
speaking right know lot people feel drained non closure occurs never get done something,sadness,21
thinking working towards long time become something feel even passionate last year,love,15
feel fucked church fuck luminary swinelord back deluxe r,anger,5
im still feeling little hesitant plunging multitude colored pencil nonetheless,fear,6
feel dull many time headache many time insomnia,sadness,4
feeling adventurous buy k ji kin spore mailorder make kome k ji using rice choice,joy,13
feel like sociable anymore,joy,2
im emo ing haha feeling happy instead able meet,joy,12
havent feeling bouncy lately ive quietly keeping head til phase pass hence almost complete absence lj,joy,10
sit feeling generally satisfied lean bench take cigarette george lit asks ya feel man,joy,13
aint feeling carefree deffinately worrying self,joy,9
feel less shitty,sadness,1
want much leave feeling awkward time,sadness,10
get bottom feeling berate feeling dissatisfied,anger,11
feel virtuous made dinner tonight,joy,5
often feel disappointed decision call name,sadness,9
feel listless,sadness,3
im already feeling terrific,joy,1
gigantic spider climbed face flat,anger,10
im still feeling incredibly overwhelmed entire situation,surprise,3
ive ever written although im gonna reproduce full boring academic reference also specifically analysis several prominent blogger treatment romantic relationship id feel weird putting internet,surprise,17
always feel need break awkward silence make even awkward,sadness,6
know work asking divine assistance certainly make u feel graceful even situation remains,joy,12
opened first window whilst listening certain mariah carey christmas classic radio im feeling pretty festive morning,joy,8
im feeling really stressed today state house,sadness,4
feel like designer shy away using color kitchen love julia incorporated bright splash orange blue green throughout space,fear,12
feel like awkward outsider start feel homesick,sadness,4
really feel bothered honest,anger,9
cant explain proud feeling seeing determined time win,joy,13
feel triumphant deal,joy,4
worse justified feel needy man street suddenly represents threat peace freedom,sadness,18
still feel terribly devastated,sadness,1
woke feeling amazed realized dream still dream,surprise,9
feel usually people may easily subdue longing one even,love,7
wearing feeling confident,joy,5
feel though capacity love others show love loved share grown dramatically,love,10
feel little come divine center,joy,3
need feel like time valuable,joy,4
need get back work rewriting introduction feel woeful inadequate writing ill make short,sadness,7
guess could say teeter totering right edge feel like im dangerous,anger,9
feel like hitting sweet spot d going rd grade d going st dd headed last year preschool,love,12
feel like ya maybe dumb weird strange,sadness,4
longer angst inside kind yelping passion feeling wronged drove initial connection emo,anger,17
feel unloved he god choice whatever wantd,sadness,10
feel like ive shaken around thrown,fear,4
think common feel helpless time like,sadness,6
feel like long enough would emotion back b c could either stressed people cant hide emotion would support back feeling would safe esp without uw school work,anger,25
im feeling mellow side today,joy,2
feel treasured feel loved feel ive done pursue craft adore make living fulfil real ambition ive ever becoming professional writer,love,21
always loved job loved work truly feel like back patient co worker lot good even week,joy,24
feel empty href http uwilnevrknow,sadness,3
could used blog post one perfectly describes way feel well give tribute,joy,12
also came away injury free feeling amazing throughout entire race,surprise,3
feel honored know,joy,6
pas left side would occasionally reset weaker leg get put half guard feel comfortable taking back mount,joy,17
ill even come one people small piece dark chocolate feel completely satisfied gone,joy,17
absolutely refuse feel insecure look anymore,fear,5
always liked winter season feel im well adapted cold weather,joy,5
feel never thank enough helping girl troubled past become today,sadness,11
knew would feel empty would potential feel like wasnt well wasnt passing folk,sadness,11
even feel surprised dark outside,surprise,3
tell really feel understand supporting someone doesnt mean lie,love,13
admit feeling agitated hubby asked want join drink agreed,anger,13
feel fucking lame saying however immature may something imagine imagined time,sadness,11
love tango family sometimes especially feeling ugly awkward like outsider need something tango get know everyone milonga,sadness,18
guess constantly feeling unhappy around person sign remove person life,sadness,14
feel tortured sense wrong,fear,4
find feeling irritable depleted run mental checklist worked,anger,9
feeling quite weepy get rid,sadness,9
feel acclimated like finally part organization rather timid observer,fear,8
snapping everybody feeling grumpy general,anger,6
nearly caused traffic accident car,fear,5
feel look abit dull going match colour colour going put final cover think white black either red blue,sadness,20
guess mild pain made feel even impatient get,anger,10
starred susan gaping cum filled ring could feel cock hardening vain hope fucking goddess would wait another day,sadness,15
feeling really confident moving tomorrow juice smoothie raw vegan meal menu routine,joy,10
ive gotten used extent im actually feeling weird without,surprise,7
feel isolated im much driving bad road,sadness,5
cant blog im feeling inspired blog lose inspiration,joy,7
grin kiss way body way done except less teeth feeling rather mellow content moment,joy,18
feel generous love people focused much story want perpetuate dynamic educator going,love,22
feel dont need dumb reason legitimize excuse way im feeling,sadness,7
feel burdened guilted weight decision gone bad,sadness,6
im blogging simply im feeling distracted though im suppose study cell bio,anger,7
feel band perhaps distracted hardcore dancer flailing around,anger,8
began feel accepted gaia term,love,6
potter around one bed flat feel little bit like unfortunate version bridget jones,sadness,7
get upset bruce little tired work usual feel little rejected,sadness,10
feel safe,joy,3
feel particularly sympathetic toward,love,4
like new bunnysuit wear feel cute,joy,6
heard mark got entrance examination realized admittance university almost certain,joy,13
feel pain pleasant,joy,5
feel innocent chaste,joy,4
im feeling low usually want lay bed nothing,sadness,6
know day going feel discouraged,sadness,9
feel like plan make happy allow help family better many way,joy,13
supposed feel persom wickdly love long tell see he got girlfriend faithful im around,joy,30
feel sincere,joy,5
im feeling nervous,fear,2
going feel annoyed,anger,5
feel hesitant around,fear,2
lap feel virtuous,joy,5
feel assured doubtful time,joy,6
woke feeling hopeful,joy,1
still feel really regretful leaving,sadness,2
could listen word suddenly feel incredibly helpless,sadness,6
feel pretty weird blogging deodorant im bit deodorant snob find really hard find good one,surprise,10
feel studying homework week holiday target blank img title stumbleupon class ssba alt stumbleupon src http www,sadness,6
guess trying say abusive boyfriend crushing dream loss job real reason feel depressed,sadness,19
also feel extremely blessed marrying loving family,joy,6
feel like person ever truly loved guy shall call mr,love,8
couldnt get sleep feeling quite irritable restless every time dropping sleep mosquito would land face squeal around ear,anger,15
feel sympathetic ever elementary school teacher trying coerce entire class third grader walk single file lunchroom,love,9
barely seem remember live middle coming term likelihood would single rest life feeling pretty content,joy,21
feed strongly feel feeding crappy processed dog food want live forever,sadness,12
feel indecisive feel like security usually feel sensing ground beneath foot suddenly gone left feeling wobbly unhappy,fear,13
love projector old old smell displeasing old slightly musty early feel like little episode mad men set watch something,anger,31
also hope understand feel angry dont support hat rule turn school event sans hat,anger,17
feel hurt grimaced,sadness,8
staying relative house broken,fear,6
drunk feel fab,joy,5
decided first time month try wearing ugly pink black running shoe least feel little bit cute going,joy,13
feel like people shamed,sadness,6
im feeling mellow relaxed sometimes im feeling productive quiet sometimes wanna fun yknow,joy,7
im moving back vegitarianism feel delicious,joy,3
im feeling pissed sad right,anger,2
talking district leader elder hill last night explaining concern seeing fruit effort baptized anyone yet plain feeling like many problem weakness even funny,surprise,28
feel worthless beaten broken,sadness,3
time sister first baby happy joyous stayed two day marriage child,joy,17
feel like dirty src http,sadness,3
feel completely listless running auto,sadness,2
feel like quite neglectful blog say alive happy,sadness,15
also worried long trip vomited night may guess im feeling well,joy,15
feel like try calm shes good since game ended see katniss getting tense every schedule adjustment,joy,18
hate feeling im indecisive,fear,3
feel job let know might missed another holiday,sadness,8
feel exhausted done reading like live multiple life span day,sadness,13
write journal something good keeping secret world depresses although feel idiotic happiuness bliss watch news,sadness,21
looking forward unless feel place though assured fit,joy,13
feel getting timid day,fear,8
feel amused absurdity,joy,6
feel much productive college keep productivity full gear ill chalk idea art project summer train army attack pigeon take tiny uninhabited island,joy,21
guess feeling pretty hesitant,fear,3
used feel pretty friendly started spouting russia running muck reason dont give shit citizen cant trusted,joy,19
may rant feel burdened least bit,sadness,7
one bearing pain anguish yet one continues feel hurt as still gallivanting showing,sadness,23
feel unsure everything life,fear,8
thought wed escaped interminable bout bod dressing gown feeling others lapel charming spectacle type guy tight fitting deep blue combo trying intent purpose take another guy red behind,joy,21
im challenged feel valued time,joy,4
still feel muscle aching,sadness,4
feel like actually productive today,joy,3
going say make feel unloved shit thats overly dramatic,sadness,12
breathing treatment laid bed felt like complete crap couldnt sleep called thinking really need get steroid ill feel fine right,joy,16
figured feel crappy feel crappy lot feeling crappy come trying figure certain negative emotion exist especially life pretty damn good time ya,sadness,25
would feel timid wearing beacuse id try get dirty etc,fear,5
feel burdened href http scratcheverything,sadness,2
feel less stressed end day usually discover ive done,sadness,8
cant even remember feel like loved,love,5
tend discomforting feeling maybe get disturbed sense emotion play way book interpreted,sadness,14
feel resolved less like smoking lung today obviously happy,joy,9
feel frightened wanted document way feeling,fear,8
feel blackburn stubborn team blackpool holloway want positive reaction game even get result,anger,14
suppose bit occasion ive become horrible annoying person feel strange,fear,13
feel uncertain something act positive powerful way,fear,8
im sure something come day im feeling little artistic,joy,8
im feeling way shes caring way used,love,7
feeling little adventurous ordered seafood paella lemonade drink arrived kicked ordered glass sangria,joy,17
still blush feel shocked recreational activity sometimes unwillingly willingly hear sometimes,surprise,7
feel people cannot possibly appreciate compliment toward cannot possibly sincere dont deserve compliment first place,joy,12
began making dinner feeling good succeeded listening resulted cheerful husband,joy,9
feel like generous completely understand thing change mean day unpaid,love,10
rushing around packing kit ready fly gambia tuesday instead sat feeling rather melancholy emotional supping small well fairly small,sadness,15
left feeling pretty defeated,sadness,4
feel anxious usually around time night,fear,6
feel convinced ideal therapist presumably able professional necessity understand another person uniqueness wholeness without presupposition ought least fairly healthy human,joy,19
feel like class clown im outgoing person,joy,6
spring fling feeling like flower unfurling artistic soul ready sunshine,joy,10
get another call frantic junior file obviously refused ta help im feeling like rude mean jz went like yeah sorry dont,anger,19
feel rebellious think let,anger,5
feel like ugly day ugly phase call unattractive unattractive odd way,sadness,17
feel offended form make big end doesnt bother ive learned show ball past say think anonymous would give weight content comment would question behind,anger,38
feeling optimistic actually ran first couple mile probably pace,joy,6
lived virginia eight whole month feel super weird,joy,8
im usually strong ability make feel like naughty child doesnt know shes talking,love,11
get gut feeling paranoid,fear,7
didnt feel like moving around thing going fine,joy,5
sure hope help im tired feeling lousy,sadness,4
im feeling kind naughty,love,1
feel completely submitted devoted href http www,love,4
came feeling abused,sadness,5
dont know feel apprehensive apathetic,fear,6
asked zack could go write feeling gracious enough let,joy,16
get close feeling like dance putting music motion together similarly creative way,joy,12
feel lola fall strange demographic,surprise,3
feel stressed ever,sadness,3
keep feeling like reaching last time convinced responding listening every time seems come crashing,joy,27
feel like dont honestly know bit dt admired result cc wit,love,11
feel delicate,love,3
feel glad,joy,2
feel like single handedly supporting cupcake industry,love,4
spent today working lawn feel invigorated,joy,4
feel like crappy job giving back angle due racing training schedule,sadness,11
feel feeling coming back hateful jealous paranoid feeling used torture relentlessly,anger,7
visited daycare option taken year find one feel even acceptable,joy,14
go sleep feeling reluctant let go day,fear,9
feel like everywhere look piece sweet boy missing,joy,6
guess phrase dump come try think something mildly upsetting sort negative emotion perhaps stuck traffic something news morning made feel bit grumpy,anger,29
chose make feel amazing,surprise,6
feel like pulling paige charmed dont hurt ok,joy,5
shopping friend day asked feeling book coming said terrified asked,fear,22
mean care much family going thing becoming something making feel almost morose,sadness,15
feel depressed sing,sadness,3
feel though pretty dangerous apply one strategy match,anger,5
feel ashamed log leave problem behind,sadness,6
feel helpless know deke going die fuckin thing,fear,14
id recommend using washing shower gel oil leave residue behind feel lovely particularly practical also brownish tint,love,17
celebrity politician hire bodyguard carry gun apologize explain feel embarrassed choice,sadness,18
im thankful music make laugh music make feel strong music make believe,joy,9
spray body afternoon beat heat refreshing doesnt sting unlike regular baby cologne fresh scent energizing thing need keep feeling drained lazy intense heat,sadness,23
feel surprised sharing dream sharing,surprise,16
much regret allowed johann accompany khartoum feel convinced never rally present descara,joy,11
remember feeling dismayed observation,sadness,3
know im feeling time guilty,sadness,3
feeling naughty thebalm nude tude naughty palette href http,love,5
feeling bit homesick made last minute trip broomfield weekend th nd,sadness,13
play different feeling around cold grim back drop,anger,6
feeling effect lifting weight couple time last week loving,love,10
could feel didnt hurt,sadness,4
bring mind feel joyful laughter well within heart becomes hard remain weighed heavier negative feeling,joy,12
feel like going living rich sustained life throughout year due work,joy,9
feel carefree xd,joy,2
like feel pressured yet like spending time,fear,8
feel acceptable response time non crisis response,joy,3
feel peaceful know made right decision,joy,6
feel like going friendly safe environment booking flight pe,joy,10
done music movie production last four year feel time fashion im passionate,joy,13
feel cranky annoyed dont,anger,4
feel like lens look cute,joy,3
done hill training feeling apprehensive,fear,11
touch pissed janine appears totally forgotten birthday feel sarcastic comment card next week make,anger,16
state right feel strongly someone punished hurt inflicted,sadness,14
wake uncomfortable feeling mentally abused thought life remember remember honestly wish,sadness,32
tend want cook feel grumpy tired stressed,anger,9
seek presence people conscience feel around optimism youth stubborn refusal accept fate forced upon,anger,14
feel numb jun nd,sadness,1
wanted please make feel accepted,love,5
front blank canvas feel calm focused,joy,7
ive feel good enough work whole shift possibly whole day,joy,6
want worthy especially feeling sarcastic crone,anger,11
feel every step plan taken divine help,joy,8
ive noticed week im one struggle feeling little depressed mother day,sadness,9
feel talented sometimes,joy,1
remembering told birthday selfish idiot feeling jealous people met nao,anger,23
presented old work made feel guilty,sadness,3
wanted take opportunity express way feel blog lovely self course,love,12
feel fucked day,anger,4
said sir feel real time company experience mba would valuable career gate since work day company support based,joy,16
cant quite believe feel lively awake th morning age,joy,10
feel inspired get back mindset putting good stuff body,joy,9
hate feeling fucked time,anger,8
dont know feel way live la id rather somewhere else im stressed money work im need hug,sadness,20
feel like posting something clever problem course im extremely clever person,joy,5
could feel exhausted arm leg,sadness,5
feel rejected like peer dont really understand result argument ensue,sadness,6
feel dull idiot,sadness,5
dark moment life precise moment time read stuff fleeting feeling empathy triumph quickly succeeded bitterness guilty resentment towards,sadness,22
feel terrible,sadness,3
feel tranquil eloquent charm praise array delight thought legard loved,joy,10
feel almost weird someone didnt know impacted emotionally last day,surprise,7
feel little less inhibited class tonight,fear,4
get headache easily agitated feel frightened aggressive,fear,3
stand actually annoying giggle also acknowledge feeling dissatisfied,anger,11
feel rich pas see penny,joy,8
feel sad,sadness,5
like buck system climb soapbox feel wronged see others wronged part comfortable society accepts certain behavior moral truth,anger,20
read men would rather feel unloved inadequate disrespected,sadness,4
like thing leave others feeling surprised delighted,surprise,5
love whiff certain scent take back certain time place remind certain person make feel content nostalgic,joy,16
hope pair u harbor hard feeling enjoy casual chat way life turn without needing press title everything,joy,13
make crack age old system sleeping driving insane dont energy dont feeling feel like ive already devoted life working hacking system fucking number people,love,26
im sure im feeling extremely vulnerable feel depressed sad,fear,11
noticed go start feel irritated easily annoyed thing feel tiny ache inside almost unnoticeable first day tiny hair burrowed way foot,anger,29
starting feel like worthless person,sadness,4
feel blessed honoured sharing knowledge two absolute favourite topic life,love,10
dont solid reason beginning self harm number thing really feeling worthless one would ever like ugly didnt fit horrible,sadness,27
read ny time feel inadequate,sadness,4
lose friend apparently dont like tell people feel funny work,surprise,10
feel like hood make sweater casual wear work wear sweater,joy,13
feel clever,joy,6
feel invigorated something refreshed,joy,3
lowest level class first definitely difficult manage hotshot boy men best class last period leaf feeling somewhat useful end day,joy,19
say hope dashed truly enjoy movie leave feeling disappointed,sadness,13
im feeling bit gloomy blah today href http lunajubilee,sadness,5
feeling anything adventurous stuck comfort zone ordered mcdonalds,joy,6
feel shy sharing much right like delicate bird hasnt taken flight,fear,9
feel insulted video pete edochie responds death hoax feel insulted href http olajideolafunmbi,anger,4
feel like distracted day dealing fiddly necessity actual creative work feel like day wasted,anger,18
purposely put statement negative show im feeling gun shy,fear,7
hold onto look eye breath feel immensely deeply thankful,joy,12
gotta say im feeling pretty impressed everything ended considering total dollar dropped totaled three small canvas play display,surprise,11
make intention known feel rotten dont go,sadness,6
would feel shaken appreciated least tiny bit,fear,9
got lot crazy shit going loved feel hopeful future,joy,9
feeling quite something im sure,joy,3
im feeling little bit apprehensive entering new chapter prove,fear,11
want enjoy feel successful,joy,4
still hard time writing work feel perfect,joy,13
feel like deprived kid,sadness,2
im glad peter doesnt feel threatened concerned recent interest decidedly egalitarian almost feminist christian blog jonalyn finchers href http soulation,fear,6
feel like everything fucked,anger,4
shouldve stopped feeling envious life knew still hard,anger,10
feel seeing series intelligent people compartmentalised science religion mostly separate area mind way flicking backing forth like radio dial,joy,23
ive kicked stomach eating disorder many time feel kind numb,sadness,9
used always throw twd example dual excellence whenever anyone would defend tedious issue superhero story recently feel like single issue suffering bit,sadness,12
plan friend good support system neighbor keep company still feel really weird,surprise,11
get feeling nellie satisfied phone rang happy leslie room,joy,12
create piece similar would improve spending time background feel rushed could detailed,anger,23
feel respected feel like worth something,joy,5
still feeling romantic possibly due endless wedding conversation girlfriend involves lot talk whimsical dress dreamy photoshoots vintage inspired decoration,love,13
feel like im getting less intelligent day,joy,5
feeling something startled either way started shoulder ended across room slow flutter mind,fear,14
bet feeling really mad hurt,anger,4
however feel feeling bit reluctant,fear,4
know im quite selfish sometimes feel like dont want throw everything something uncertain,fear,9
know feeling fade away day two even hour cute hairstyle start droop frizz,joy,14
im straightforward theyd feel hurt,sadness,2
feel useless gross cant seem find one positive thing,sadness,6
feel distracted scattered take moment close eye breathe,anger,9
dont minute post something feel like there nothing worthwhile write anything would slightly appeal anyone might read,joy,12
believe make person feel uptight want envous another sin called jealousy,fear,15
im sore feeling unsure world go mile week,fear,10
feeling greedy depressed,anger,4
really feeling skeptical politician lately tomfoolery shenanigan going washington nice read book subject people taking action though advocate action took,fear,30
sobbed cried feeling quite vulnerable nothing said nothing,fear,7
feeling thankful warm sunshine crisp autumn air bright fall color,joy,4
im feeling artistic im feeling stellar,joy,1
mean weve friend long time thing new right feel like ever want roll eye everything say tell obnoxious youre,anger,26
remember feeling equally dazed road rollered twin came home pee poo neatly tied diaper,surprise,13
really wish courage drag blade across skin wish could wish could see blood feel sweet release start pour flesh body,love,25
feel gonna month day ever since broke,sadness,8
skinny look thin love feeling ignored thinner try disappear,sadness,16
feel truthful fun always lie idea seeing realized soo much object goal,joy,13
say however awfully difficult feel glamorous sensational heat ash stench greasy hair basic post yeast infection mode,joy,14
couldnt help feel like smug bastard tv already called first number ticket wasnt even close picked,joy,12
remembering touch feeling finger caress aching palm,sadness,5
start feel frantic rushed trying provide excellent care patient high tail home,fear,12
im feeling never disturb naughty student school anymore,love,8
reminder joy peace feel arm tortured,anger,11
feeling virtuous today,joy,3
feel impressed one made story,surprise,8
feel lived long enough leaving worry sweet cesspool,joy,11
capacity great care compassion well ability bite metaphorically speaking feel threatened,fear,11
miss feeling someone actually caring going feeling,love,13
feel timid six time wise sixty six,fear,4
feel equally morally outraged regardless whether michigan new york governor sleeping prostitute behind wife daughter back,anger,7
feel like punished choice made past,sadness,9
incredibly thankful temple blessing promise especially feeling come either inside amazing building simply drive,joy,22
feel like last two class didnt simplify instruction enough enough demonstration many student blank stare applying project,sadness,16
feel honoured,joy,3
walk studio feeling exhausted soaking wet sweat startling clarity focus quiet inside,sadness,10
im still feeling effect today body isnt particularly impressed moment feel stressed trying sort,surprise,16
feel like couple castanets song really liked last five eight year feel like ray raposa got lost wave freak folk rolled crested like got washed back sea,love,23
feel satisfied knowing dirt hair longer car house,joy,8
feel equally wronged,anger,1
still feel dissatisfied,anger,1
ive idling away past year realize im feeling doubtful path,fear,8
apologise advance feeling somewhat angered stressed following going come,anger,13
feel pretty pathetic right,sadness,2
feel need one day week polish im super jacked,joy,9
feeling agitated read hot walk,anger,10
want get morning feeling excited going work instead wanting hit snooze button,joy,10
feel way popular culture,joy,3
know tenge get almost anywhere feeling impatient offer,anger,13
